Company,Business Category,Main Sport Focus,Year Founded,Financials,Ownership Status,Ownership Details,Parent Company,Headquarters,Main Manufacturing,Environmental & Sustainability Policies,Acquisition History
Adventure Ready Brands,"Equipment, Accessories",Outdoor Safety and Preparedness Products,1973,Not publicly disclosed,Private - Private Equity,Owned by Victor Capital Partners,Victor Capital Partners.,"Littleton, New Hampshire, USA",USA,Committed to sustainability in product development,Acquired by Victor Capital (2019)
PrimaLoft,Apparel,Synthetic Insulation and Fabrics,1983,Not publicly disclosed,Private - Private Equity,Owned by Victor Capital Partners,Compass Diversified,"Latham, New York, USA",USA,Focus on eco-friendly materials; developed biodegradable insulation,Acquired by Victor Capital (2017)
5.11 Tactical,Equipment,Hunting Gear,2003,Not publicly disclosed,Private - Private Equity,Owned by Compass Diversified Holdings,Compass Diversified Holdings,"Irvine, California, USA",Global,Implements sustainable practices in product development,Acquired by CODI (2016)
Velocity Outdoor,Equipment,Hunting Gear,1923,Not publicly disclosed,Private - Private Equity,Owned by Compass Diversified Holdings,Compass Diversified Holdings,"Bloomfield, New York, USA",USA,Focus on environmental responsibility in manufacturing,Acquired by CODI (2017)
CamelBak,Accessories,Hydration Products,1989,Not publicly disclosed,Private - Private Equity,Owned by Vista Outdoor,Revelyst,"Petaluma, California, USA",Global,Committed to reducing environmental impact through product design,Acquired by Vista Outdoor (2015)
Bushnell,Accessories,Outdoor Accessories,1948,Not publicly disclosed,Private - Private Equity,Owned by Vista Outdoor,Revelyst,"Overland Park, Kansas, USA",Global,Implements sustainable practices in manufacturing,Acquired by Vista Outdoor (2013)
Vuori,"Vuori operates in the athleisure market, offering premium performance apparel that blends fitness, surf, sport, and art, inspired by the active Coastal California lifestyle. ([businesswire.com](https://www.businesswire.com/news/home/20241108508233/en/Vuori-Announces-825-Million-Investment-Led-by-General-Atlantic-and-Stripes/))",Sportswear,2015,Not publicly disclosed,Private - Private Equity,"Vuori, founded by Joe Kudla in 2015, has received significant investments from firms like SoftBank Vision Fund 2, General Atlantic, and Stripes, yet Kudla remains the majority owner. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Vuori))",Independent,"Carlsbad, California","Vuori's sportswear is primarily manufactured in Colombia, Vietnam, and China. ([allamerican.org](https://allamerican.org/investigation/vuori/))","Vuori is certified as a Climate Neutral brand, measuring and offsetting its greenhouse gas emissions, with a 2024 footprint of 115,667 tCO₂e, primarily from its supply chain. The company aims to reduce Scope 1 and 2 emissions by 42% and Scope 3 emissions per unit by 48% by 2030, utilizing clean energy, low-carbon materials, and supplier engagement. ([commonshare.com](https://www.commonshare.com/suppliers/vuori)) Vuori also enforces a Vendor Code of Conduct based on International Labour Organization standards, prohibiting child labor, forced labor, wage violations, and environmental negligence. ([commonshare.com](https://www.commonshare.com/suppliers/vuori))","Vuori has not been acquired; instead, it has received significant investments:

- In August 2019, Norwest Venture Partners invested $45 million. ([techcrunch.com](https://techcrunch.com/2019/08/15/southern-california-athletic-brand-vuori-raises-45-million-from-norwest-venture-partners/))

- In October 2021, SoftBank Vision Fund 2 invested $400 million, valuing Vuori at $4 billion. ([businesswire.com](https://www.businesswire.com/news/home/20211013005305/en/Vuori-Receives-400-Million-Investment-and-4B-Valuation-from-SoftBank-Vision-Fund-2))

- In November 2024, General Atlantic and Stripes led an $825 million investment, raising the valuation to $5.5 billion. ([businesswire.com](https://www.businesswire.com/news/home/20241108508233/en/Vuori-Announces-825-Million-Investment-Led-by-General-Atlantic-and-Stripes/))"
Prana,Prana Yoga Center offers yoga services and sells back care products online. ([bbb.org](https://www.bbb.org/us/ca/la-jolla/profile/yoga-supplies/prana-yoga-center-1126-17001488)),Yoga,1992,Not publicly disclosed,Subsidiary,"Prana Yoga Center, founded in 2001 by Gerhard and Alexandra Gessner, is now owned by the Quality Longevity Foundation, a 501(c) non-profit organization dedicated to enhancing health and longevity. ([prana-yoga.com](https://prana-yoga.com/about/))",Columbia Sportswear,"Prana Yoga Center is located in La Jolla, California. ([prana-yoga.com](https://prana-yoga.com/contact-us/))","Prana manufactures its yoga clothing in several countries, including China, India, Vietnam, Sri Lanka, Taiwan, and Thailand. The company emphasizes sustainability and ethical practices, with many of its factories being Fair Trade Certified. ([worldchangerco.com](https://www.worldchangerco.com/activewear2))","Prana, a yoga apparel brand, integrates sustainability by using eco-friendly materials like organic cotton, hemp, and recycled polyester, and by partnering with Fair Trade Certified™ manufacturers. ([yogabasics.com](https://www.yogabasics.com/connect/yoga-blog/eco-friendly-yoga-fashion/)) They have also eliminated plastic from their consumer packaging and launched the Responsible Packaging Movement to promote sustainable packaging practices across the industry. ([sustainablebrands.com](https://sustainablebrands.com/read/prana-s-responsible-packaging-movement-aims-to-foster-sea-change-in-fashion))","Prana, founded in 1992, was acquired by Liz Claiborne Inc. in 2005 for $34.4 million, sold back to its original owners in 2008 for $36.5 million, and purchased by Columbia Sportswear in 2014 for $190 million. ([sagellc.com](https://sagellc.com/news/2005/liz-clairborne-acquires-prana/), [apparelnews.net](https://www.apparelnews.net/news/2014/jun/02/columbia-sportswear-completes-acquisition-prana-ap/))"
Stio ,"Stio is a mountain lifestyle brand specializing in outdoor apparel and accessories, including ski and snowboard clothing designed for performance and style. ([outdoorsportswire.com](https://www.outdoorsportswire.com/stio-partners-with-gore-tex-and-launches-largest-ski-program-to-date-with-fall-2020-collection/))",Skiing,2011,Not publicly disclosed,Private - Venture Backed,Stio has raised $42.6M in funding from Sandbridge Capital and LAGO,KarpReilly.,"Jackson Hole, Wyoming","Stio designs, develops, and tests its ski apparel in Jackson Hole, Wyoming, but manufactures products in the USA, Canada, China, El Salvador, and Vietnam. ([postvines.com](https://postvines.com/where-are-stio-products-manufactured/))","Stio, a mountain lifestyle brand, is committed to eliminating per- and polyfluorinated chemicals (PFAS) from its technical apparel, footwear, and accessories by 2025, with over half of its Fall/Winter 2023-24 collection already PFAS-free. ([textileworld.com](https://www.textileworld.com/textile-world/knitting-apparel/2023/10/jackson-hole-based-technical-outerwear-brand-stio-commits-to-removing-pfas-by-2025/)) Additionally, Stio aims to use 75% preferred materials by 2025, having increased usage to 57% in 2023, and has been Climate Neutral-certified since 2020. ([deal.town](https://deal.town/stio/our-2023-annual-stewardship-report-is-here-FKCMBYFJJN))","In August 2014, Stio received a $5.9 million investment led by Sandbridge Capital, with KarpReilly converting existing debt to equity. ([sgbonline.com](https://sgbonline.com/stio-closes-59-million-round-of-funding/)) In May 2023, Stio raised $20 million in growth capital from LAGO Innovation Fund to support retail expansion and product development. ([shop-eat-surf-outdoor.com](https://shop-eat-surf-outdoor.com/press-releases/stio-raises-20m-in-capital-to-accelerate-omnichannel-growth/131028/))"
Smith Optics,"Smith Optics specializes in high-performance eyewear and helmets for skiing and cycling, offering products like snow goggles, ski helmets, cycling sunglasses, and bike helmets. ([smithoptics.com](https://www.smithoptics.com/en_US/c/sunglasses-activity-cycling/), [rosebikes.com](https://www.rosebikes.com/brands/smith-optics))","Skiing, Cycling",1965,"Smith Optics, a subsidiary of Safilo Group S.p.A., reported a return to growth in its sports business during Q4 2024, driven by direct-to-consumer sales and a strong start to the 2025 ski season. ([sgbonline.com](https://sgbonline.com/exec-smith-optics-returned-to-growth-in-2024-q4/)) In 2022, the company experienced a 22% revenue increase attributed to its ChromaPop lens innovation. ([pmarketresearch.com](https://pmarketresearch.com/hc/mens-ski-goggles-market/))",Public - Subsidiary,Subsidiary of Safilo Group,Safilo Group,"Portland, Oregon","Smith Optics manufactures its ski goggles and sunglasses at its facility in Clearfield, Utah. ([blog.smithoptics.com](https://blog.smithoptics.com/b/a-look-inside-smith-mfg/)) However, their helmets are produced in China. ([americanalternative.wordpress.com](https://americanalternative.wordpress.com/tag/smith-optics/))","Smith Optics has implemented several environmental and sustainability initiatives:

- In Fall 2022, they eliminated plastic waste from their winter sports and eyewear packaging, removing plastic windows and polybags, and partnered with gogglesoc™ to provide lens protectors made from recycled water bottles. ([blog.smithoptics.com](https://blog.smithoptics.com/b/moving-towards-zero-plastic-waste/))

- Their CORE Collection features sunglasses made from 100% post-consumer plastic, including recycled water bottles, with bio-based polarized lenses and recycled PET frames. ([deal.town](https://deal.town/smith-optics/explore-core-for-the-planet-FKA87E6Y2))

- The Evolve program, launched in 2009, utilizes bio-based or recycled materials across all product categories to reduce environmental impact. ([atlasskico.com](https://atlasskico.com/partners/smith-optics))

- Smith's Pivlock V2 Max sunglasses incorporate Evolve frame material, made from over 53% bio-based Rilsan Clear, offering lightweight and durable frames. ([actionsportoptics.com](https://actionsportoptics.com/blog/c/eyewear-tech/page/20/))

- In 2021, Smith employees participated in Earth Day clean-up events, collaborating with non-profits to maintain local trails and parks. ([blog.smithoptics.com](https://blog.smithoptics.com/b/smith-x-earth-day-clean-up/))

- The company offers fitness benefits, including locker rooms and gear storage, and encourages outdoor activities like skiing and biking, promoting a healthy lifestyle among employees. ([outsideonline.com](https://www.outsideonline.com/outdoor-gear/clothing-apparel/4-smith-optics/))

- Smith provides flexible hours, allowing employees to adjust schedules for outdoor activities, fostering a work-life balance that aligns with their outdoor-focused culture. ([outsideonline.com](https://www.outsideonline.com/outdoor-gear/clothing-apparel/4-smith-optics/))

- The company supports various community service initiatives, including partnerships with local and national organizations, reflecting their commitment to social responsibility. ([outsideonline.com](https://www.outsideonline.com/outdoor-gear/clothing-apparel/4-smith-optics/))

- Smith's green initiatives include using recycled materials in goggles, FSC-certified paper for packaging, and offering commuting benefits like bus passes and bike racks. ([outsideonline.com](https://www.outsideonline.com/outdoor-gear/clothing-apparel/4-smith-optics/))

- Employees receive recreation allowances and have access to facilities like locker rooms and gear rooms, promoting active engagement in outdoor sports. ([outsideonline.com](https://www.outsideonline.com/outdoor-gear/clothing-apparel/4-smith-optics/))",Smith Optics was acquired by Safilo Group in 1996. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Safilo))
YETI Holdings,"YETI Holdings, Inc. designs, markets, and distributes products for the outdoor and recreation market under the YETI brand, catering to activities such as hunting, fishing, camping, barbecue, and others. ([alphaquery.com](https://www.alphaquery.com/stock/YETI/profile-key-metrics))","Hunting, Camping",2006,"YETI Holdings reported a revenue of $1.83 billion and a net income of $175.69 million for the fiscal year ending December 2024. ([alphaquery.com](https://www.alphaquery.com/stock/YETI/profile-key-metrics))

## Stock market information for YETI Holdings Inc (YETI)
- YETI Holdings Inc is a equity in the USA market.
- The price is 35.1 USD currently with a change of 1.34 USD (0.04%) from the previous close.
- The latest open price was 34.27 USD and the intraday volume is 2678781.
- The intraday high is 35.35 USD and the intraday low is 33.76 USD.
- The latest trade time is Thursday, July 17, 22:45:00 UTC.",Public,"YETI Holdings, Inc. is a publicly traded company on the New York Stock Exchange under the ticker symbol ""YETI."" As of 2025, the largest shareholders include co-founder Ryan R. Seiders with 14.09% ownership, BlackRock, Inc. with 10.51%, and The Vanguard Group, Inc. with 9.68%. ([wallstreetzen.com](https://www.wallstreetzen.com/stocks/us/nyse/yeti/ownership))",Independent,"Austin, Texas","YETI Holdings manufactures its products in multiple countries, including the United States, China, the Philippines, Vietnam, Taiwan, Poland, and Malaysia. The company does not own or operate any manufacturing facilities but relies on third-party partners to produce and distribute its products. ([sec.gov](https://www.sec.gov/Archives/edgar/data/1670592/000167059221000004/yeti-20210102.htm))","YETI Holdings has partnered with the Congressional Sportsmen’s Foundation to support conservation efforts benefiting hunters and anglers. ([congressionalsportsmen.org](https://congressionalsportsmen.org/news/yeti-and-congressional-sportsmens-foundation-partner-together-in-support-of-conservation-efforts/)) Additionally, YETI has implemented sustainability initiatives such as eliminating 146 tons of plastic and 209 tons of paper from its products since 2018. ([advfn.com](https://www.advfn.com/stock-market/NYSE/YETI/stock-news/87613461/proxy-statement-definitive-def-14a))","In February 2024, YETI Holdings acquired Mystery Ranch, a designer and manufacturer of durable load-bearing backpacks, bags, and pack accessories, for $36.2 million. ([fintel.io](https://fintel.io/doc/sec-yeti-holdings-inc-1670592-10q-2024-august-08-19943-5112)) This acquisition aimed to expand YETI's capabilities in the bags category. ([outdoorsportswire.com](https://www.outdoorsportswire.com/yeti-discloses-mystery-ranch-acquisition-price/))"
